S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
868,Hyundai Grand i10 AT Asta,Harare,2035,61717,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,,5.57
869,Hyundai Xcent 1.2 CRDi S,Arusha,2038,25302,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,8.56 River,5.9
870,Hyundai Creta 1.6 VTVT S,Harare,2036,47016,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5,,9.43
871,Hyundai i10 Sportz,Kigali,2030,69000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,,2.9
872,Honda Brio S MT,Nairobi,2036,32700,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5,,3.68
873,Toyota Fortuner 4x2 AT,Harare,2035,101337,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7,,21.67
874,Audi A4 2.0 TDI Multitronic,Durban,2031,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,,12.5
875,Toyota Innova Crysta 2.8 ZX AT,Gaborone,2038,41736,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,27 River,19.92
876,Honda City i DTEC VX,Arusha,2034,71649,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5,,6.75
877,Honda City i DTEC VX,Gaborone,2035,80606,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5,,6.96
878,Renault KWID 1.0 RXT Optional,Arusha,2037,63262,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5,4.78 River,3.25
879,Maruti Swift DDiS ZDI Plus,Dodoma,2038,5456,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,8.65
880,Maruti Celerio VXI Optional AMT,Maputo,2037,7500,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,6.14 River,5
881,Mahindra XUV500 W8 2WD,Nairobi,2031,66000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,5.5
882,Hyundai i10 Magna,Arusha,2030,66770,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,,2.6
883,Hyundai i10 Magna 1.1,Gaborone,2034,58472,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5,,3.41
884,Maruti Dzire VXI,Lusaka,2031,46687,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.3 River,2.7
885,Maruti Grand Vitara AT,Lilongwe,2028,77000,Petrol,Automatic,Fourth & Above,9.7 kmpl,1995 CC,163.5 bhp,5,,5.5
886,Audi TT 40 TFSI,Lusaka,2032,7000,Petrol,Automatic,First,14.33 kmpl,1984 CC,226.6 bhp,4,,35
887,Mercedes-Benz New C-Class C 200 CGI,Johannesburg,2031,48000,Petrol,Automatic,Second,14.74 kmpl,1991 CC,184 bhp,5,,9.75
888,Nissan Sunny 2011-2014 Diesel XV,Johannesburg,2033,47000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,,4.25
889,Maruti Wagon R LXI,Durban,2035,51530,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3.2
890,Maruti Swift Dzire ZDI,Kigali,2034,25789,Diesel,Manual,Second,23.4 kmpl,1248 CC,74 bhp,5,,6.85
891,Honda Amaze S i-Dtech,Nairobi,2035,48000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,4.5
892,Maruti Swift ZDI,Nairobi,2032,52000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,,3.55
893,Hyundai Accent Executive CNG,Dodoma,2030,95637,CNG,Manual,Second,13.2 km/kg,1495 CC,93.7 bhp,5,,1.9
894,Mahindra Scorpio LX 2.6 Turbo,Dodoma,2028,131000,Diesel,Manual,First,10.5 kmpl,2609 CC,120 bhp,7,,3.6
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Gaborone,2035,42076,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5,,21.8
896,Toyota Fortuner 4x2 Manual,Johannesburg,2032,76000,Diesel,Manual,Second,13.0 kmpl,2982 CC,168.5 bhp,7,,13.5
897,Datsun redi-GO T Option,Kigali,2036,20487,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,4.37 River,2.66
898,Honda City V MT,Nairobi,2030,43000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5,,3.75
899,Toyota Camry Hybrid,Maputo,2038,17000,Petrol,Automatic,First,19.16 kmpl,2494 CC,158.2 bhp,5,,32
900,Honda City i DTec V,Harare,2036,60805,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,,8.07
901,Volkswagen Jetta 2012-2014 2.0L TDI Trendline,Gaborone,2032,58775,Diesel,Manual,First,19.33 kmpl,1968 CC,138.1 bhp,5,,5.64
902,Audi A6 2011-2015 2.0 TDI,Dodoma,2033,70181,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,,23.99
903,Maruti Ertiga VDI,Harare,2036,85827,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,7.5
904,Mercedes-Benz New C-Class C 220 CDI Style,Arusha,2036,58205,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,27
905,Maruti Swift Dzire Vdi BSIV,Johannesburg,2028,91000,Diesel,Manual,Second,19.3 kmpl,1248 CC,73.9 bhp,5,,2.85
906,Renault Duster 110PS Diesel RxZ Pack,Maputo,2032,74000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,,6.35
907,Maruti Ritz VDi,Dodoma,2030,79324,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.3
908,Maruti Swift Dzire VXI,Kigali,2033,38623,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,,5
909,Maruti Swift ZDi,Harare,2034,59923,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,,6.46
910,Hyundai EON Sportz,Arusha,2037,23360,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,,3.75
911,Maruti Zen VXI BSII,Gaborone,2023,61495,Petrol,Manual,Third,17.3 kmpl,993 CC,60 bhp,5,,1.52
912,Maruti Eeco 7 Seater Standard,Harare,2032,56661,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,4.98 River,3.61
913,Audi Q5 30 TDI quattro Premium,Harare,2037,40318,Diesel,Automatic,First,14.16 kmpl,1968 CC,174.3 bhp,5,,43.74
914,Audi Q3 2.0 TDI,Lilongwe,2034,60000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,,20
915,Smart Fortwo CDI AT,Maputo,2028,103000,Diesel,Automatic,Second,0.0 kmpl,799 CC,null bhp,2,,3
916,Maruti Swift Dzire VDi,Dodoma,2030,130000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5,,3.65
917,Tata Sumo DX,Johannesburg,2033,20000,Diesel,Manual,First,14.07 kmpl,1978 CC,83.1 bhp,10,,5.25
918,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Dodoma,2036,76000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7,,58
919,Honda City i-VTEC CVT VX,Johannesburg,2035,30000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,15.29 River,8.65
920,Tata Indigo eCS eLX BS IV,Nairobi,2035,150000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5,,2.5
921,Volkswagen Vento TSI,Lilongwe,2034,28000,Petrol,Automatic,First,16.93 kmpl,1197 CC,103.6 bhp,5,,7.75
922,Maruti Celerio VXI,Kigali,2035,74000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,,4.15
923,Toyota Fortuner 3.0 Diesel,Nairobi,2031,75000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,,10.85
924,Mitsubishi Outlander 2.4,Nairobi,2030,76000,Petrol,Automatic,Second,11.3 kmpl,2360 CC,170 bhp,5,,5.53
925,Volkswagen Jetta 2007-2011 1.9 Highline TDI,Maputo,2034,64889,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,5,,11.5
926,Porsche Cayman 2009-2012 S,Dodoma,2030,10000,Petrol,Manual,First,9.0 kmpl,3436 CC,null bhp,2,,40
927,Hyundai Creta 1.6 CRDi SX,Lusaka,2035,43000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,9.25
928,Skoda Fabia 1.2 MPI Ambiente Petrol,Maputo,2031,47490,Petrol,Manual,First,17.5 kmpl,1198 CC,75 bhp,5,,2.29
929,Ford EcoSport 1.5 TDCi Titanium,Lilongwe,2035,80000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,,7
930,Maruti Zen Estilo 1.1 LXI BSIII,Kigali,2027,60000,Petrol,Manual,Second,18.2 kmpl,1061 CC,64 bhp,5,,1.65
931,Maruti Ciaz 1.4 Delta,Durban,2037,6006,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,,8.25
932,Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Gaborone,2031,71703,Petrol,Automatic,First,14.74 kmpl,1991 CC,181.03 bhp,5,,9.14
933,Honda Amaze SX i-VTEC,Dodoma,2036,33000,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,,6.5
934,Toyota Etios GD,Lusaka,2032,60000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5,,2.95
935,Renault Duster 85PS Diesel RxL,Arusha,2035,91000,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,,5.75
936,Maruti Wagon R LXI LPG BSIV,Dodoma,2032,72000,LPG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,5,,2.85
937,Volkswagen Polo Petrol Highline 1.2L,Lusaka,2031,43000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5,,2.1
938,Hyundai Creta 1.6 SX Plus Diesel,Harare,2037,63770,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,,13.55
939,Jaguar XF Diesel,Lusaka,2032,43510,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,5,,20.5
940,Jeep Compass 2.0 Limited 4X4,Johannesburg,2037,52000,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,24.26 River,20
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Gaborone,2038,31427,Diesel,Automatic,First,15.68 kmpl,1999 CC,177 bhp,5,75.12 River,59.72
942,Maruti Baleno Alpha Diesel,Lusaka,2036,29000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5,9.53 River,6.5
943,Maruti Ciaz ZDi SHVS,Durban,2036,56000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,7.5
944,Maruti SX4 Vxi BSIII,Arusha,2027,76000,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5,,2.15
945,Hyundai Elantra CRDi SX,Harare,2035,53615,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5,,8.44
946,Mitsubishi Pajero Sport 4X4,Kigali,2033,132000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,34.6 River,12.49
947,Volkswagen Ameo 1.2 MPI Comfortline,Maputo,2037,14800,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5,,5.48
948,Maruti Ritz VXi,Dodoma,2033,35433,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,,4.2
949,Hyundai Verna CRDi SX,Dodoma,2033,82966,Diesel,Manual,First,16.8 kmpl,1493 CC,110 bhp,5,,7.2
950,Maruti Swift Dzire Tour LDI,Arusha,2034,96000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,,4.8
951,Mahindra KUV 100 mFALCON D75 K6,Gaborone,2037,39528,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,,5.83
952,Toyota Innova Crysta 2.4 ZX MT,Harare,2038,92056,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,26.45 River,18.39
953,Maruti Baleno Delta 1.2,Maputo,2036,14930,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,,5.85
954,Honda Jazz VX Diesel,Johannesburg,2036,38000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,11.15 River,6.21
955,Hyundai i20 1.2 Asta,Nairobi,2033,71000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,,3.65
956,Hyundai i20 Sportz Diesel,Nairobi,2032,71000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,,3.7
957,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Maputo,2035,50000,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5,,30
958,Hyundai Xcent 1.2 Kappa Base,Gaborone,2036,48163,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5,,4.85
959,Hyundai Grand i10 AT Asta,Harare,2037,19168,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,,6.93
960,Maruti Alto 800 VXI,Lusaka,2036,26000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5,,2.6
961,Chevrolet Sail Hatchback 1.2 LS,Lusaka,2034,37400,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,5,,1.89
962,Mercedes-Benz C-Class Progressive C 220d,Johannesburg,2038,8682,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,52.26 River,39.5
963,Skoda Superb Elegance 1.8 TSI AT,Johannesburg,2032,95000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5,,10
964,Audi A4 2.0 TDI,Lusaka,2029,34000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,,9.95
965,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Johannesburg,2034,95000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8,,9.45
966,Mercedes-Benz CLA 200 CDI Sport,Harare,2037,13689,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5,,28.25
967,Hyundai i10 Era,Arusha,2028,84000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,,1.8
968,Maruti Swift Dzire VXi,Lusaka,2028,47000,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5,,1.4
969,Skoda Rapid 1.5 TDI AT Ambition,Durban,2035,60001,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,,7.25
970,Maruti Ritz VDi,Dodoma,2032,96000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5,,3.6
971,Hyundai Accent GLS 1.6,Arusha,2024,47300,Petrol,Manual,Second,14.4 kmpl,1599 CC,94 bhp,5,,1.2
972,Honda Amaze SX i-VTEC,Harare,2034,28246,Petrol,Manual,Second,17.8 kmpl,1198 CC,86.7 bhp,5,,4.94
973,Maruti Wagon R LXI,Nairobi,2027,65000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5,,1.25
974,Volkswagen Polo Diesel Comfortline 1.2L,Lilongwe,2033,68000,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,5,,4.8
975,Ford Endeavour 2.2 Trend AT 4X2,Gaborone,2039,11209,Diesel,Automatic,First,12.62 kmpl,2198 CC,158 bhp,7,,31.15
976,Hyundai i20 1.2 Sportz,Maputo,2031,41980,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,,3.3
977,Chevrolet Beat Diesel PS,Kigali,2032,65000,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.4
978,Honda Civic 2010-2013 1.8 V MT,Lusaka,2030,38000,Petrol,Manual,First,14.8 kmpl,1799 CC,130.2 bhp,5,,2
979,Maruti Wagon R VXI BS IV,Maputo,2034,51000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5,,3.1
980,Skoda Rapid 1.6 MPI Ambition Plus,Gaborone,2034,33855,Petrol,Manual,First,15.0 kmpl,1598 CC,103.6 bhp,5,,5.09
981,Maruti Baleno Vxi - BSIII,Maputo,2026,146000,Petrol,Manual,Second,15.4 kmpl,1590 CC,94 bhp,5,,1.05
982,Ford EcoSport 1.5 TDCi Titanium,Kigali,2035,47037,Diesel,Manual,Second,22.77 kmpl,1498 CC,98.59 bhp,5,,7
983,Hyundai Accent GLE,Durban,2030,58000,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,5,,2.5
984,BMW 5 Series 520d Luxury Line,Johannesburg,2032,61240,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,70.43 River,17.5
985,Maruti Alto K10 2010-2014 VXI,Lilongwe,2031,91211,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5,,2.1
986,Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Kigali,2033,84000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5,,17.75
987,Maruti Wagon R LXI DUO BSIII,Johannesburg,2028,64226,LPG,Manual,First,17.3 km/kg,1061 CC,57.5 bhp,5,,1.45
988,Toyota Corolla H4,Kigali,2025,67000,Petrol,Automatic,Second,11.3 kmpl,1794 CC,125 bhp,5,,2.45
989,Volvo XC60 D5,Maputo,2031,106976,Diesel,Automatic,First,13.5 kmpl,2400 CC,215 bhp,5,,13.8
990,Honda Jazz 1.5 VX i DTEC,Lusaka,2036,27210,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,,5.85
991,Maruti Ciaz 1.3 Alpha,Nairobi,2037,26322,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,,8.9
992,Maruti Swift VXI BSIV,Johannesburg,2036,9107,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5,,5.15
993,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Gaborone,2035,63983,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,,16.56
994,Maruti Wagon R VXI Minor,Lilongwe,2030,134000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5,,1.65
995,Mercedes-Benz A Class A180 Sport,Maputo,2035,11000,Petrol,Automatic,First,15.5 kmpl,1595 CC,120.7 bhp,5,,16
996,Hyundai Santro Xing GL,Maputo,2028,93000,Petrol,Manual,First,0.0 kmpl,1086 CC,62 bhp,5,,1.45
997,Maruti Swift Dzire AMT ZDI,Harare,2037,24852,Diesel,Automatic,First,26.59 kmpl,1248 CC,74 bhp,5,,8.08
998,Hyundai Grand i10 AT Asta,Maputo,2034,37632,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5,,4.5
999,Nissan Sunny 2011-2014 XV Special Edition,Lilongwe,2033,55000,Petrol,Manual,Second,16.95 kmpl,1498 CC,97.7 bhp,5,,4.3
1000,Maruti A-Star Lxi,Dodoma,2030,81448,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5,,2.6
1001,Renault KWID RXT Optional,Dodoma,2038,1900,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.8 River,4.45
1002,Hyundai Verna 1.6 SX VTVT (O) AT,Harare,2032,54957,Petrol,Automatic,First,17.1 kmpl,1591 CC,121.4 bhp,5,,5.37
1003,Maruti Wagon R LXI Minor,Lilongwe,2028,55000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5,,1.75
1004,BMW 3 Series 320d Sport Line,Lusaka,2033,21983,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5,,16.5
1005,BMW 5 Series 2003-2012 520d,Nairobi,2033,76000,Diesel,Automatic,First,18.48 kmpl,1995 CC,177 bhp,5,,19
1006,Tata Indigo CS eVX,Arusha,2036,65000,Diesel,Manual,First,25.0 kmpl,1396 CC,69.01 bhp,5,,2.8
1007,Hyundai i20 Sportz 1.4 CRDi,Dodoma,2035,26000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,,6.2
1008,Maruti Omni E MPI STD BS IV,Gaborone,2039,11571,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8,,3.8
1009,Maruti Swift ZDi,Dodoma,2034,81000,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,,6.1
1010,Ford Ecosport Signature Edition Diesel,Harare,2039,23154,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,12.12 River,11.65
1011,Honda Brio VX AT,Johannesburg,2034,26856,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5,,4.15
1012,Toyota Innova Crysta 2.4 GX MT,Lilongwe,2037,67489,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,19.37 River,16.5
1013,Mahindra Scorpio 2.6 LX,Kigali,2028,176000,Diesel,Manual,Second,10.5 kmpl,2179 CC,120 bhp,8,,4.3
1014,Hyundai i20 1.2 Magna,Lusaka,2030,18000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,2.25
1015,Hyundai Verna 1.6 SX,Durban,2034,63003,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5,,6.75
1016,Mahindra XUV500 W6 2WD,Lilongwe,2034,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,,9.4
1017,Volkswagen Vento 1.5 TDI Comfortline,Harare,2034,56658,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5,12.14 River,5.39
1018,Maruti Swift Dzire VDI Optional,Gaborone,2039,18592,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,8.51
1019,Tata Manza Aura Safire BS IV,Maputo,2030,75695,Petrol,Manual,First,13.7 kmpl,1368 CC,88.8 bhp,5,,1.85
1020,Maruti Swift VDI,Lusaka,2032,82000,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5,,2.5
1021,Volkswagen Polo Diesel Highline 1.2L,Lilongwe,2033,60000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,4.75
1022,Honda City 1.5 V MT,Maputo,2029,138000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5,,3.5
1023,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Kigali,2034,67000,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5,,5.5
1024,Honda City 1.5 V MT,Harare,2032,42750,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,6.33
1025,Chevrolet Beat Diesel,Gaborone,2034,52398,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5,,2.47
1026,Chevrolet Spark 1.0 LS,Gaborone,2034,36657,Petrol,Manual,First,16.2 kmpl,995 CC,62.1 bhp,5,,3.3
1027,Tata New Safari DICOR 2.2 EX 4x2,Nairobi,2031,77000,Diesel,Manual,Second,11.57 kmpl,2179 CC,138.1 bhp,7,,3.5
1028,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Nairobi,2034,85000,Diesel,Automatic,First,11.3 kmpl,2987 CC,254.8 bhp,7,,38.75
1029,BMW 5 Series 2003-2012 530d Highline,Maputo,2028,112500,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,5,,7.99
1030,Toyota Fortuner 2.8 4WD MT,Gaborone,2033,105072,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7,36.69 River,13.28
1031,BMW X1 sDrive 18i,Maputo,2032,80000,Petrol,Automatic,First,11.25 kmpl,1995 CC,150 bhp,5,,9.5
1032,Renault Captur 1.5 Diesel Platine Mono,Gaborone,2039,3102,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,5,,14.01
1033,Hyundai Xcent 1.1 CRDi S,Harare,2036,14656,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,,6.99
1034,BMW 3 Series 320d,Dodoma,2030,105000,Diesel,Automatic,Second,13.2 kmpl,1995 CC,170 bhp,5,,11
1035,BMW 5 Series 2010-2013 525i,Dodoma,2028,61000,Petrol,Automatic,Second,10.8 kmpl,2497 CC,215 bhp,5,,11
1036,Nissan Micra XE,Maputo,2030,85046,Petrol,Manual,Second,18.06 kmpl,1198 CC,75 bhp,5,,2.3
1037,Jaguar XF 2.2 Litre Luxury,Nairobi,2034,48000,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,,26.5
1038,Land Rover Range Rover TDV8 (Diesel),Kigali,2031,55000,Diesel,Automatic,First,10.2 kmpl,4367 CC,308 bhp,7,,67
1039,Jeep Compass 1.4 Limited Option,Johannesburg,2037,4000,Petrol,Automatic,First,16.0 kmpl,1368 CC,160 bhp,5,23.68 River,17.75
1040,Honda CR-V 2.4 AT,Nairobi,2030,94000,Petrol,Automatic,Second,10.1 kmpl,2354 CC,152 bhp,5,,4.8
1041,Maruti Swift VXI,Harare,2033,61110,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5,,4.57
1042,Hyundai Xcent 1.1 CRDi S,Lilongwe,2036,80000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,,3.5
1043,Nissan Terrano XV Premium 110 PS,Gaborone,2035,43190,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,5,,7.61
1044,Audi A4 35 TDI Technology,Dodoma,2035,45000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,55.61 River,25
1045,Hyundai Grand i10 Asta Option,Harare,2036,44178,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,,5.88
1046,Toyota Innova 2.5 G (Diesel) 8 Seater,Dodoma,2035,84415,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8,,13.5
1047,Hyundai i20 1.2 Magna,Lusaka,2035,35000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,4.6
1048,Ford EcoSport 1.5 TDCi Titanium,Lusaka,2033,44000,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,,4.9
1049,Honda City 1.5 S MT,Dodoma,2032,67635,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,,5.25
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Harare,2038,18385,Petrol,Automatic,First,14.8 kmpl,1497 CC,121.36 bhp,5,14.1 River,12.41
1051,Volkswagen Polo Diesel Highline 1.2L,Lusaka,2034,35000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,,3.8
1052,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Johannesburg,2030,49000,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,,8.95
1053,Ford Ecosport 1.5 DV5 MT Titanium,Dodoma,2033,69000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,,7.2
1054,Tata Indigo GLE,Dodoma,2037,23228,Petrol,Manual,First,14.4 kmpl,1396 CC,65 bhp,5,,4.5
1055,Maruti Swift Dzire LDI,Nairobi,2034,68462,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5,,4.15
1056,Maruti S-Cross Zeta DDiS 200 SH,Harare,2036,74611,Diesel,Manual,First,25.1 kmpl,1248 CC,88.5 bhp,5,13.26 River,7.94
1057,Renault Duster 110PS Diesel RxZ Pack,Maputo,2034,90000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,,7.25
1058,Maruti Wagon R VXI,Nairobi,2036,22000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,,3.7
